timestamp,latitude,longitude
1.7284E+09,-35.27584685,149.1197498
1.7284E+09,-35.27567062,149.119947
1.7284E+09,-35.27589336,149.1197397
1.7284E+09,-35.27592767,149.1196944
1.7284E+09,-35.27570135,149.1200503
1.7284E+09,-35.2756086,149.1201876
1.7284E+09,-35.27608125,149.1204352
1.7284E+09,-35.27583403,149.1203058
1.7284E+09,-35.27583788,149.1203003
1.7284E+09,-35.2758432,149.1202966
1.7284E+09,-35.27584605,149.120293
1.7284E+09,-35.27585996,149.1203027
1.7284E+09,-35.27586233,149.1202943
1.7284E+09,-35.27585805,149.1202822
1.7284E+09,-35.27585439,149.1202737
1.7284E+09,-35.27587402,149.1202429
1.7284E+09,-35.27588189,149.1202178
1.7284E+09,-35.27588402,149.1201798
1.7284E+09,-35.27586947,149.1201292
1.7284E+09,-35.27586081,149.120097
1.7284E+09,-35.27586136,149.1200805
1.7284E+09,-35.27586177,149.1200579
1.7284E+09,-35.27586447,149.1200413
1.7284E+09,-35.27585511,149.1200124
1.7284E+09,-35.27584692,149.1199983
1.7284E+09,-35.27581382,149.1199876
1.7284E+09,-35.275769,149.1199529
1.7284E+09,-35.27575058,149.1199222
1.7284E+09,-35.27575357,149.1199028
1.7284E+09,-35.27574062,149.1198761
1.7284E+09,-35.27572613,149.1198152
1.7284E+09,-35.27575041,149.1195967
1.7284E+09,-35.27573955,149.1195584
1.7284E+09,-35.27571764,149.1195221
1.7284E+09,-35.27570346,149.1194818
1.7284E+09,-35.27569004,149.1194539
1.7284E+09,-35.27567236,149.1194426
1.7284E+09,-35.27566836,149.1194263
1.7284E+09,-35.27567545,149.1194774
1.7284E+09,-35.27567437,149.119465
1.7284E+09,-35.27567321,149.1194525
1.7284E+09,-35.27567386,149.1194484
1.7284E+09,-35.27566591,149.1194386
1.7284E+09,-35.27566474,149.1194359
1.7284E+09,-35.27564993,149.1194325
1.7284E+09,-35.27563453,149.1194202
1.7284E+09,-35.27562129,149.1194163
1.7284E+09,-35.27560239,149.1194064
1.7284E+09,-35.27559612,149.119393
1.7284E+09,-35.27559234,149.1193961
1.7284E+09,-35.27559455,149.1193842
1.7284E+09,-35.27558111,149.1193701
1.7284E+09,-35.27558867,149.1193744
1.7284E+09,-35.275573,149.1193663
1.7284E+09,-35.27557999,149.1193583
1.7284E+09,-35.27558362,149.1193493
1.7284E+09,-35.27557174,149.1193137
1.7284E+09,-35.27555306,149.1192147
1.7284E+09,-35.27558513,149.1191806
1.7284E+09,-35.27558677,149.1191805
1.7284E+09,-35.27561882,149.1191316
1.7284E+09,-35.27561501,149.119099
1.7284E+09,-35.27561718,149.1190749
1.7284E+09,-35.27564155,149.1190603
1.7284E+09,-35.27567306,149.119082
1.7284E+09,-35.27570884,149.1190971
1.7284E+09,-35.27574042,149.1191209
1.7284E+09,-35.27578115,149.1191334
1.7284E+09,-35.27581814,149.1191462
1.7284E+09,-35.2758479,149.1191638
1.7284E+09,-35.27588058,149.1191861
1.7284E+09,-35.2759198,149.1192002
1.7284E+09,-35.27594508,149.1192253
1.7284E+09,-35.27597817,149.1192555
1.7284E+09,-35.2760042,149.1192808
1.7284E+09,-35.27601507,149.1192907
1.7284E+09,-35.27602983,149.1193232
1.7284E+09,-35.27601296,149.1193448
1.7284E+09,-35.27598537,149.1193942
1.7284E+09,-35.2759803,149.119392
1.7284E+09,-35.27595876,149.1194463
1.7284E+09,-35.27593853,149.1194483
1.7284E+09,-35.2759282,149.1194728
1.7284E+09,-35.27590209,149.1194881
1.7284E+09,-35.27589666,149.1194967
1.7284E+09,-35.27588013,149.1195116
1.7284E+09,-35.27586793,149.1195209
1.7284E+09,-35.27585587,149.1195305
1.7284E+09,-35.27583757,149.1195435
1.7284E+09,-35.27582488,149.1195566
1.7284E+09,-35.27580763,149.119586
1.7284E+09,-35.27578853,149.1196079
1.7284E+09,-35.27577793,149.1196265
1.7284E+09,-35.27576282,149.1196332
1.7284E+09,-35.27578417,149.1196657
1.7284E+09,-35.27579367,149.1196944
1.7284E+09,-35.27580927,149.119704
1.7284E+09,-35.27581206,149.1197227
1.7284E+09,-35.27582403,149.1197344
1.7284E+09,-35.27582597,149.1197298
1.7284E+09,-35.2758168,149.1197222
1.7284E+09,-35.27581995,149.1197184
1.7284E+09,-35.27582115,149.1197154
1.7284E+09,-35.27582354,149.1197151
1.7284E+09,-35.27583074,149.1197113
1.7284E+09,-35.27582451,149.1197111
1.7284E+09,-35.2758274,149.1197119
1.7284E+09,-35.27582731,149.1197154
1.7284E+09,-35.27583291,149.1197128
1.7284E+09,-35.27584651,149.1197053
1.7284E+09,-35.27585082,149.1197024
1.7284E+09,-35.27584422,149.1197022
1.7284E+09,-35.27583902,149.1197074
1.7284E+09,-35.27583048,149.11971
1.7284E+09,-35.27582234,149.1197131
1.7284E+09,-35.27582139,149.1197175
1.7284E+09,-35.27582183,149.1197214
1.7284E+09,-35.27557125,149.1197814
