torqueX,torqueY,powerX,powerY
0.0,0.37416965426775955,0.0,0.0
0.05198467232046905,0.48781277155622704,0.034014859389931526,0.07033894584339591
0.10398147630181097,0.5905436717016291,0.06575707477323181,0.138773066617781
0.15599192840163412,0.6809983275610865,0.0997841465239038,0.2022929806557484
0.20801956702102303,0.755994009134549,0.13836498709391004,0.26488710607797333
0.2600573153578066,0.8218961764221162,0.18149697591417094,0.32801869345936113
0.3121056788978515,0.8782501537095069,0.2269052809300938,0.39100466092937874
0.3641601082683344,0.9291480224253696,0.27231144878288605,0.4551839589653441
0.4162276802714262,0.9682243225695867,0.31999427823144,0.5190247755843339
0.468308394907129,0.9954790541421487,0.3676759419546491,0.5835164997847483
0.5204143838363148,1.0,0.4153603257036612,0.6464894396284997
0.572562328092681,0.9667828615714266,0.46532379964290016,0.7077678405939646
0.6247390850436166,0.9076492074280923,0.5198374881727446,0.770105032275944
0.6769340394858607,0.8321472275701558,0.5698233051810663,0.8189077045973905
0.7291416310748451,0.745278354854873,0.6198183508483563,0.8625573585658693
0.7813648927257884,0.6443145349964567,0.6698158251101131,0.9048509550730428
0.831227788108411,0.5358704061703518,0.7198074707451524,0.9503990894873559
0.8739840576496531,0.4279464740130002,0.769815630822555,0.9867260331647789
0.9120056937928351,0.31756550606333384,0.8198650770058743,1.0
0.9476633891604772,0.20291943598276446,0.8699810666775479,0.9761179923954143
0.9785852596276522,0.08688806572215153,0.9201465996763175,0.924572412580182
1.0,0.0,0.9680520826654707,0.8640898811465956
,,1.0,0.8176659349483252
